car_id,target_class
P17494612l,gear_stick
N-1530212S,gear_stick
B-1154399t,gear_stick
F12725233R,gear_stick
l-1139189J,gear_stick
U75286923j,engine_overheat
T-7479831o,gear_stick
B-1369793u,engine_fuel
Y-1289786X,engine_overheat
C29045893T,gear_stick
v-1730983R,gear_stick
I20727212Q,gear_stick
p48812438h,gear_stick
T-2633971l,another_bug
V-9683916q,engine_overheat
P68488505Z,another_bug
W23907639f,engine_overheat
A22674788w,engine_overheat
y-1252277z,gear_stick
u21168983D,electro_bug
x12753662A,gear_stick
v-7435255a,engine_overheat
E12421362P,electro_bug
J35738918W,engine_overheat
T16973122B,engine_overheat
p-5671458M,gear_stick
I68086031c,electro_bug
D69722395r,engine_overheat
X10967418c,gear_stick
q-1489273f,engine_overheat
C-1903701S,engine_overheat
r11820515d,engine_overheat
x12397432S,engine_overheat
Q50389908q,engine_overheat
B18597537S,engine_overheat
S-9537522o,gear_stick
a10623296X,gear_stick
R28123139u,gear_stick
h-1451730v,engine_overheat
d-1257449w,gear_stick
N11419190t,engine_overheat
k63904133P,engine_check
J92413639E,gear_stick
b-3875784F,engine_ignition
f15183722K,gear_stick
c-1874297z,gear_stick
E16971328N,engine_overheat
H18110876A,another_bug
P-1301418D,break_bug
b-9697936F,engine_overheat
H-4258275m,electro_bug
H10655858l,gear_stick
w-1481290E,engine_overheat
C40885722w,gear_stick
f15625319Q,engine_overheat
B42019578p,engine_check
T65731704H,gear_stick
e30424190o,another_bug
w-1081221i,electro_bug
E48110445u,engine_overheat
u73256394H,engine_check
m17237645h,engine_fuel
q-1403429B,gear_stick
E-1889080W,engine_overheat
b-1781291I,another_bug
P77959737c,electro_bug
h17474551u,electro_bug
d17705773B,engine_overheat
s-2080909j,engine_check
N18448941g,gear_stick
P17953716g,gear_stick
i94781425U,engine_check
L-2155385D,gear_stick
Q21449479D,engine_check
z-1790906x,gear_stick
C-4338027c,gear_stick
F13621020y,engine_overheat
P-1981563m,engine_overheat
B20284663C,break_bug
X-5672837D,gear_stick
f-8313064a,engine_check
S16867324D,gear_stick
l81011564d,engine_overheat
T-7878324V,another_bug
X49290901c,gear_stick
N15373595s,engine_check
g-1912309G,gear_stick
G23848056z,gear_stick
w-3530598y,engine_check
s-4092655x,electro_bug
v60921451s,another_bug
A-5309696c,engine_overheat
a21437857o,engine_check
r-2049651S,engine_overheat
c48174687o,engine_ignition
n57986901A,gear_stick
J43552505w,gear_stick
X69815445k,gear_stick
Y31463755z,engine_overheat
C-1846243L,engine_overheat
z10378875g,gear_stick
B-1843237q,gear_stick
I-8201538D,gear_stick
k-7853395L,electro_bug
H-3154020d,engine_ignition
v11532085a,engine_overheat
o-1004837T,engine_check
E15850759P,gear_stick
S11046237d,engine_fuel
i19615927E,engine_check
h24674210l,gear_stick
j-1003273K,engine_overheat
i18120580r,another_bug
t35781257E,gear_stick
S-7977049s,gear_stick
H10411834F,engine_overheat
o29701218V,gear_stick
E-1304820y,another_bug
V56226787D,engine_ignition
I-9571675o,engine_check
a-1832317K,engine_overheat
H-9271579x,another_bug
H15689477U,engine_overheat
J-8699353u,engine_check
S-6497022N,engine_overheat
g11521087z,gear_stick
Q-1114187O,another_bug
a-1510716r,engine_overheat
G12673775u,gear_stick
V-1604890W,gear_stick
o-8858693p,break_bug
F84870593a,engine_overheat
j17532274g,engine_overheat
l-1283385g,engine_overheat
s-2062095H,engine_overheat
X13157100E,engine_overheat
h-2273764e,electro_bug
B-2140476J,gear_stick
p-8263041e,another_bug
Y-1681893d,another_bug
w-1017091K,engine_overheat
M-1236720D,engine_check
I-7194770x,gear_stick
m13987388S,gear_stick
w17315089Z,gear_stick
f-1380237E,engine_overheat
P10499796W,engine_overheat
l-1844181l,gear_stick
g13957568L,gear_stick
R-5598576l,engine_overheat
n59321309Q,engine_overheat
R-1193631X,engine_overheat
y-2178923H,electro_bug
m73284992F,engine_overheat
Z-2537370X,engine_check
t17276860j,break_bug
y33047270r,engine_overheat
b-9079908N,engine_fuel
q92579907V,engine_overheat
Z94669875T,gear_stick
M86375856k,break_bug
c23067621B,engine_check
L-1838617u,gear_stick
s-1063517N,engine_check
x-1172003m,engine_overheat
Q10654514V,engine_overheat
A-3425095J,engine_ignition
F-1854480x,engine_check
C-1953190j,engine_check
l41267361i,gear_stick
N90091958O,engine_overheat
z20306091J,gear_stick
F94970727I,electro_bug
M14830267a,engine_check
i-1101173g,engine_check
l-7821340d,gear_stick
I18827052n,gear_stick
Z14111948t,engine_overheat
T17415608q,engine_overheat
R-1068057n,gear_stick
K-8915465U,engine_check
f-2804472s,engine_overheat
v-1578970y,gear_stick
Q14003835G,electro_bug
W14646068A,gear_stick
o-1593719v,gear_stick
C-4941408C,engine_overheat
x-9374675c,gear_stick
l12294446D,engine_overheat
p15777006h,engine_overheat
w-8656872Z,gear_stick
D66928361D,gear_stick
p-3553707D,engine_overheat
M10807027o,engine_fuel
g12484323a,gear_stick
Z-8212382G,engine_overheat
u79013135M,engine_overheat
m28011734J,engine_check
C-2143786U,engine_overheat
x-2141235A,gear_stick
b44994738S,engine_overheat
J44930122W,gear_stick
g32852591N,electro_bug
